# sintético 5-Wiebe (graus); ver true_parameters.json
theta,xb,dxb_dtheta
-20.0000,-0.003121,-0.00002050
-19.8000,0.001496,-0.00079948
-19.6000,-0.001382,0.00105622
-19.4000,-0.000309,0.00063216
-19.2000,0.000053,-0.00181982
-19.0000,0.004656,0.00040176
-18.8000,-0.000215,0.00003508
-18.6000,0.000398,-0.00129639
-18.4000,-0.001742,0.00103706
-18.2000,0.000308,0.00117470
-18.0000,-0.001314,-0.00106870
-17.8000,-0.000845,-0.00189786
-17.6000,-0.001125,0.00149832
-17.4000,-0.001839,-0.00044187
-17.2000,0.001363,0.00030229
-17.0000,0.002795,-0.00126294
-16.8000,-0.004141,0.00090548
-16.6000,0.001194,0.00080041
-16.4000,-0.001205,-0.00038564
-16.2000,0.000504,0.00098593
-16.0000,-0.000223,-0.00043601
-15.8000,0.001521,-0.00055092
-15.6000,0.001038,-0.00006463
-15.4000,-0.000143,0.00002674
-15.2000,0.000475,0.00050209
-15.0000,0.002211,-0.00000576
-14.8000,0.001423,-0.00033793
-14.6000,0.000857,-0.00031006
-14.4000,-0.002951,0.00146060
-14.2000,0.000322,0.00008090
-14.0000,-0.000380,-0.00025352
-13.8000,0.001402,-0.00117939
-13.6000,-0.000461,-0.00105819
-13.4000,-0.000514,0.00085184
-13.2000,-0.003004,0.00098337
-13.0000,0.002480,-0.00016264
-12.8000,-0.000377,0.00020653
-12.6000,-0.000370,0.00020603
-12.4000,-0.000565,-0.00047627
-12.2000,0.000485,0.00048578
-12.0000,-0.000310,0.00047250
-11.8000,0.000100,0.00154720
-11.6000,0.001215,0.00004095
-11.4000,-0.002186,0.00035378
-11.2000,0.001288,0.00122507
-11.0000,-0.000375,-0.00015621
-10.8000,-0.001937,0.00094173
-10.6000,0.000530,-0.00096655
-10.4000,-0.002066,0.00063003
-10.2000,-0.001703,0.00022174
-10.0000,0.001482,0.00111291
-9.8000,0.002439,-0.00129151
-9.6000,-0.001119,0.00001842
-9.4000,-0.000536,0.00061443
-9.2000,0.000832,0.00266105
-9.0000,-0.000055,0.00238341
-8.8000,0.002080,0.00375420
-8.6000,0.000952,0.00429871
-8.4000,0.002262,0.00940213
-8.2000,0.004591,0.01118027
-8.0000,0.010967,0.01546256
-7.8000,0.012526,0.02104499
-7.6000,0.017261,0.02447033
-7.4000,0.025029,0.03043987
-7.2000,0.026503,0.03394016
-7.0000,0.036350,0.03831471
-6.8000,0.043758,0.03987992
-6.6000,0.045934,0.04310092
-6.4000,0.061462,0.03939706
-6.2000,0.064566,0.03890740
-6.0000,0.073820,0.03457401
-5.8000,0.078584,0.03093506
-5.6000,0.087652,0.02524308
-5.4000,0.092171,0.01885170
-5.2000,0.094641,0.01397215
-5.0000,0.094553,0.01052566
-4.8000,0.096679,0.00664016
-4.6000,0.099568,0.00343042
-4.4000,0.099542,0.00223220
-4.2000,0.100423,0.00075240
-4.0000,0.099146,0.00226011
-3.8000,0.100040,0.00121840
-3.6000,0.098963,-0.00122009
-3.4000,0.098535,0.00012121
-3.2000,0.100643,0.00024066
-3.0000,0.099134,0.00106875
-2.8000,0.103687,0.00147177
-2.6000,0.101695,0.00096562
-2.4000,0.097558,0.00229577
-2.2000,0.101993,0.00422877
-2.0000,0.103588,0.00398024
-1.8000,0.106315,0.00410977
-1.6000,0.103286,0.00450715
-1.4000,0.106495,0.00480930
-1.2000,0.106260,0.00537700
-1.0000,0.105190,0.00736253
-0.8000,0.106315,0.00841994
-0.6000,0.110715,0.00890234
-0.4000,0.114804,0.01075745
-0.2000,0.116788,0.01219708
-0.0000,0.119796,0.01255605
0.2000,0.120413,0.01474194
0.4000,0.120439,0.01533157
0.6000,0.127795,0.01687017
