# sintético 2-Wiebe (graus); ver true_parameters.json
theta,xb,dxb_dtheta
-20.0000,0.000172,0.00039440
-19.8000,0.000761,0.00028778
-19.6000,-0.003862,0.00033416
-19.4000,-0.000368,0.00106260
-19.2000,-0.002079,0.00040240
-19.0000,0.000145,-0.00171179
-18.8000,-0.000139,-0.00169735
-18.6000,-0.001199,-0.00099147
-18.4000,0.000210,-0.00031219
-18.2000,0.000363,0.00019109
-18.0000,-0.002215,-0.00316163
-17.8000,0.001451,-0.00017727
-17.6000,0.000772,0.00055019
-17.4000,-0.000289,0.00099791
-17.2000,0.000818,-0.00046123
-17.0000,0.002571,-0.00057291
-16.8000,0.002331,0.00052398
-16.6000,0.001934,0.00133132
-16.4000,0.000556,0.00102105
-16.2000,0.004569,-0.00006248
-16.0000,0.003541,0.00039124
-15.8000,-0.003905,0.00051821
-15.6000,0.001730,-0.00084600
-15.4000,-0.004368,-0.00171395
-15.2000,0.002076,-0.00146433
-15.0000,0.002117,0.00044599
-14.8000,0.000231,0.00084980
-14.6000,0.000046,-0.00180659
-14.4000,0.001043,0.00132769
-14.2000,0.001579,0.00036692
-14.0000,0.000518,-0.00022514
-13.8000,-0.002835,-0.00071840
-13.6000,-0.001098,-0.00011585
-13.4000,0.002191,-0.00124779
-13.2000,0.000377,0.00184003
-13.0000,0.000140,-0.00202963
-12.8000,0.002714,-0.00010065
-12.6000,-0.000458,-0.00118955
-12.4000,-0.001815,0.00087160
-12.2000,-0.001968,-0.00259226
-12.0000,0.003330,-0.00113800
-11.8000,-0.001134,-0.00086646
-11.6000,0.002900,0.00167900
-11.4000,0.000282,0.00091884
-11.2000,-0.000372,0.00073861
-11.0000,0.001045,-0.00120782
-10.8000,-0.000569,0.00177357
-10.6000,-0.002151,-0.00087969
-10.4000,0.001646,0.00025870
-10.2000,0.001571,0.00065997
-10.0000,-0.001290,-0.00031557
-9.8000,-0.001586,-0.00056054
-9.6000,0.004413,0.00001344
-9.4000,0.000616,-0.00318172
-9.2000,0.001775,0.00136581
-9.0000,-0.001583,-0.00060047
-8.8000,-0.001801,-0.00082169
-8.6000,0.003664,0.00240120
-8.4000,-0.002464,0.00055514
-8.2000,-0.003052,0.00080762
-8.0000,0.001298,0.00111615
-7.8000,-0.000341,0.00182135
-7.6000,-0.001906,-0.00158444
-7.4000,-0.002135,0.00312788
-7.2000,0.000627,0.00061244
-7.0000,0.000399,-0.00163513
-6.8000,-0.000281,0.00020068
-6.6000,-0.001304,0.00195589
-6.4000,0.002693,-0.00100302
-6.2000,-0.003424,0.00010790
-6.0000,0.002148,-0.00085350
-5.8000,0.005470,-0.00327364
-5.6000,-0.000666,-0.00093942
-5.4000,0.001026,-0.00121872
-5.2000,-0.002315,-0.00109730
-5.0000,-0.001395,0.00146941
-4.8000,0.004644,-0.00009780
-4.6000,0.001354,0.00184702
-4.4000,0.002723,0.00240991
-4.2000,0.002642,0.00178457
-4.0000,-0.002278,0.00340389
-3.8000,-0.000995,0.00483264
-3.6000,0.002587,0.00963031
-3.4000,0.007150,0.00847597
-3.2000,0.004636,0.01149614
-3.0000,0.012337,0.01666755
-2.8000,0.014611,0.01887000
-2.6000,0.021838,0.02496075
-2.4000,0.023079,0.02513859
-2.2000,0.027999,0.03001971
-2.0000,0.034779,0.03394560
-1.8000,0.042039,0.03611508
-1.6000,0.049337,0.04127051
-1.4000,0.057182,0.04532983
-1.2000,0.069489,0.04838449
-1.0000,0.083884,0.05129151
-0.8000,0.090688,0.05745612
-0.6000,0.104163,0.05754162
-0.4000,0.110690,0.05920190
-0.2000,0.127046,0.06239731
-0.0000,0.138251,0.06471611
0.2000,0.152440,0.06338029
0.4000,0.164341,0.06369340
0.6000,0.175111,0.06619219
0.8000,0.187840,0.06452248
1.0000,0.203208,0.06566385
1.2000,0.214030,0.06438703
1.4000,0.228904,0.05971904
1.6000,0.237623,0.05729822
1.8000,0.250327,0.05510409
2.0000,0.262143,0.05234124
2.2000,0.271814,0.05006950
2.4000,0.281394,0.04596249
2.6000,0.290178,0.04363221
2.8000,0.294266,0.03991533
3.0000,0.300776,0.03387777
3.2000,0.314831,0.03162169
3.4000,0.321613,0.03220204
3.6000,0.326158,0.02787581
3.8000,0.331704,0.02353201
4.0000,0.333832,0.02526806
4.2000,0.333579,0.02205992
4.4000,0.341905,0.01658565
4.6000,0.348788,0.01667347
4.8000,0.348624,0.01590313
5.0000,0.351550,0.01397492
5.2000,0.356553,0.01234492
5.4000,0.356886,0.01384191
5.6000,0.359649,0.01216372
5.8000,0.361338,0.01190549
6.0000,0.364762,0.01435473
6.2000,0.368517,0.01208017
6.4000,0.373186,0.01088180
6.6000,0.375545,0.01239882
6.8000,0.374176,0.01366569
7.0000,0.377336,0.01493469
7.2000,0.381693,0.01420921
7.4000,0.382307,0.01208101
7.6000,0.381616,0.01327669
7.8000,0.392708,0.01447316
8.0000,0.390164,0.01475262
8.2000,0.395637,0.01703343
8.4000,0.398448,0.01573307
8.6000,0.402378,0.01876936
8.8000,0.404788,0.01961467
9.0000,0.409611,0.01855248
9.2000,0.409563,0.01720305
9.4000,0.417266,0.02066867
9.6000,0.419580,0.02080942
9.8000,0.424489,0.02040551
10.0000,0.430735,0.02079454
10.2000,0.433567,0.02147311
10.4000,0.439792,0.02146074
10.6000,0.441892,0.02232419
10.8000,0.451470,0.02436145
11.0000,0.450789,0.02318634
11.2000,0.455534,0.02606347
11.4000,0.460884,0.02320753
11.6000,0.467573,0.02708592
11.8000,0.470459,0.02662324
12.0000,0.478508,0.02642033
12.2000,0.481601,0.02585302
12.4000,0.488013,0.02542084
12.6000,0.491836,0.02883610
12.8000,0.501466,0.02736370
13.0000,0.501769,0.02662080
13.2000,0.507539,0.02886591
13.4000,0.517503,0.02713297
13.6000,0.521097,0.02945476
13.8000,0.528390,0.02957989
14.0000,0.535727,0.03207869
14.2000,0.540431,0.02633537
14.4000,0.543328,0.03085751
14.6000,0.551011,0.02982808
14.8000,0.553457,0.03065735
15.0000,0.562107,0.03091975
15.2000,0.567987,0.03103227
15.4000,0.573758,0.03090032
15.6000,0.580059,0.03145100
15.8000,0.587707,0.03045767
16.0000,0.594720,0.02987837
16.2000,0.594846,0.02984058
16.4000,0.609172,0.03209270
16.6000,0.612440,0.03256435
