# sintético 1-Wiebe (graus); ver true_parameters.json
theta,xb,dxb_dtheta
-20.0000,0.002058,0.00043391
-19.8000,0.003284,0.00009478
-19.6000,0.002293,-0.00054606
-19.4000,-0.001946,-0.00057337
-19.2000,-0.002786,-0.00030989
-19.0000,0.000134,0.00052557
-18.8000,0.001723,0.00019180
-18.6000,0.001018,0.00034311
-18.4000,0.003621,0.00072330
-18.2000,0.001502,0.00051367
-18.0000,0.001280,0.00066048
-17.8000,-0.001463,0.00000113
-17.6000,-0.002215,-0.00073284
-17.4000,0.002969,0.00108347
-17.2000,0.000098,0.00101745
-17.0000,0.001623,-0.00123772
-16.8000,-0.002753,-0.00012950
-16.6000,-0.000873,0.00177372
-16.4000,-0.002582,0.00099867
-16.2000,-0.001551,0.00082723
-16.0000,0.001806,-0.00167248
-15.8000,-0.002961,-0.00023376
-15.6000,-0.001068,-0.00053110
-15.4000,0.000328,-0.00003844
-15.2000,-0.001337,-0.00002874
-15.0000,-0.000505,0.00081276
-14.8000,-0.000444,-0.00035469
-14.6000,0.000836,-0.00012236
-14.4000,-0.000863,-0.00066012
-14.2000,0.000545,-0.00107593
-14.0000,0.000114,0.00030263
-13.8000,0.000849,0.00084250
-13.6000,0.000450,-0.00000027
-13.4000,0.003315,0.00107746
-13.2000,-0.001327,-0.00029435
-13.0000,0.002398,0.00041584
-12.8000,-0.000805,-0.00149805
-12.6000,-0.001916,0.00028618
-12.4000,0.002422,0.00132450
-12.2000,-0.000879,-0.00051416
-12.0000,-0.000775,0.00038263
-11.8000,-0.002777,0.00031006
-11.6000,-0.004196,-0.00021887
-11.4000,0.001269,0.00018504
-11.2000,-0.002331,-0.00013622
-11.0000,0.001557,-0.00052947
-10.8000,0.003696,-0.00000959
-10.6000,-0.000230,-0.00021642
-10.4000,-0.002253,0.00007515
-10.2000,0.000788,-0.00166947
-10.0000,0.001523,-0.00029884
-9.8000,-0.000523,0.00081591
-9.6000,0.000037,0.00052189
-9.4000,0.002677,0.00094784
-9.2000,0.002547,0.00002109
-9.0000,0.001452,0.00087745
-8.8000,-0.001678,0.00136969
-8.6000,-0.000020,-0.00015093
-8.4000,0.001337,0.00018000
-8.2000,-0.000237,0.00254332
-8.0000,-0.000964,0.00004958
-7.8000,-0.001190,-0.00093358
-7.6000,-0.000822,0.00173774
-7.4000,-0.000781,0.00078518
-7.2000,-0.000200,-0.00034386
-7.0000,0.003154,-0.00006959
-6.8000,-0.000554,0.00127685
-6.6000,0.003030,0.00007406
-6.4000,0.002326,0.00065508
-6.2000,0.002033,0.00030600
-6.0000,0.000390,0.00161284
-5.8000,0.001453,0.00166270
-5.6000,0.006668,0.00051119
-5.4000,0.003306,0.00317211
-5.2000,0.004607,0.00146294
-5.0000,0.005316,0.00207563
-4.8000,0.006598,0.00415631
-4.6000,0.004548,0.00263750
-4.4000,0.004380,0.00259045
-4.2000,0.006101,0.00277733
-4.0000,0.006363,0.00404615
-3.8000,0.009174,0.00322448
-3.6000,0.008728,0.00239498
-3.4000,0.009631,0.00315291
-3.2000,0.010296,0.00390132
-3.0000,0.013366,0.00452014
-2.8000,0.010781,0.00370063
-2.6000,0.011919,0.00527968
-2.4000,0.015711,0.00508258
-2.2000,0.014849,0.00493985
-2.0000,0.016963,0.00581815
-1.8000,0.016021,0.00774715
-1.6000,0.018824,0.00635919
-1.4000,0.021000,0.00682225
-1.2000,0.018904,0.00789651
-1.0000,0.021655,0.00742391
-0.8000,0.025442,0.00825509
-0.6000,0.030711,0.00855873
-0.4000,0.028823,0.00760357
-0.2000,0.029534,0.00933223
-0.0000,0.029785,0.00878871
0.2000,0.034153,0.00933976
0.4000,0.030333,0.00995540
0.6000,0.037275,0.00947807
0.8000,0.038826,0.01128619
1.0000,0.040635,0.01172619
1.2000,0.048578,0.01317946
1.4000,0.041330,0.01148856
1.6000,0.048650,0.01200343
1.8000,0.051328,0.01395435
2.0000,0.054699,0.01177186
2.2000,0.053216,0.01300304
2.4000,0.058222,0.01498625
2.6000,0.058981,0.01365472
2.8000,0.064615,0.01647686
3.0000,0.068243,0.01474553
3.2000,0.071245,0.01470591
3.4000,0.073669,0.01596859
3.6000,0.077669,0.01637261
3.8000,0.080969,0.01639606
4.0000,0.084827,0.01685661
4.2000,0.087555,0.01773371
4.4000,0.087512,0.01772807
4.6000,0.093108,0.01776217
4.8000,0.099175,0.01893582
5.0000,0.100496,0.01927636
5.2000,0.104639,0.01859026
5.4000,0.110468,0.02046084
5.6000,0.114243,0.02057516
5.8000,0.120301,0.02211772
6.0000,0.123803,0.02116574
6.2000,0.126261,0.02116081
6.4000,0.131799,0.02178417
