# sintético 4-Wiebe (graus); ver true_parameters.json
theta,xb,dxb_dtheta
-20.0000,0.000977,0.00093335
-19.8000,-0.001787,0.00119941
-19.6000,-0.000679,-0.00103958
-19.4000,-0.000214,-0.00028353
-19.2000,-0.003340,-0.00000968
-19.0000,0.002960,-0.00038261
-18.8000,-0.001106,-0.00021349
-18.6000,-0.000019,0.00136953
-18.4000,-0.001789,0.00078802
-18.2000,-0.002258,0.00121000
-18.0000,0.000254,0.00035294
-17.8000,0.000693,-0.00045519
-17.6000,-0.000717,0.00026118
-17.4000,-0.002265,0.00081490
-17.2000,0.001843,-0.00000330
-17.0000,0.000137,0.00188569
-16.8000,0.004028,0.00144429
-16.6000,-0.002953,0.00032408
-16.4000,0.001069,0.00030112
-16.2000,-0.000605,0.00124813
-16.0000,0.001090,0.00089154
-15.8000,-0.000146,0.00115476
-15.6000,-0.002292,-0.00159053
-15.4000,0.000000,-0.00205496
-15.2000,0.000174,-0.00005574
-15.0000,0.002941,-0.00006211
-14.8000,-0.000781,-0.00140381
-14.6000,-0.001107,0.00104751
-14.4000,-0.000106,-0.00017088
-14.2000,-0.002812,-0.00004858
-14.0000,-0.000784,-0.00064069
-13.8000,-0.000410,-0.00086635
-13.6000,0.000158,0.00062574
-13.4000,-0.001791,0.00001621
-13.2000,-0.003042,-0.00012173
-13.0000,0.000539,-0.00036792
-12.8000,-0.001654,0.00055950
-12.6000,-0.004021,0.00056845
-12.4000,-0.000287,-0.00119355
-12.2000,-0.001334,0.00011788
-12.0000,-0.001183,-0.00175334
-11.8000,0.001946,0.00041514
-11.6000,-0.001389,0.00039878
-11.4000,0.001471,0.00023857
-11.2000,0.000902,-0.00154553
-11.0000,-0.000434,-0.00220265
-10.8000,-0.001665,-0.00082285
-10.6000,0.002818,-0.00017766
-10.4000,-0.000431,-0.00114412
-10.2000,0.000873,-0.00121172
-10.0000,-0.003405,0.00039522
-9.8000,-0.000582,-0.00178117
-9.6000,0.000377,0.00179437
-9.4000,-0.002425,0.00088966
-9.2000,-0.000091,0.00077147
-9.0000,-0.002230,0.00063464
-8.8000,0.003468,-0.00032547
-8.6000,-0.000229,0.00011957
-8.4000,-0.001759,0.00002957
-8.2000,-0.001888,0.00195550
-8.0000,-0.002986,0.00018360
-7.8000,-0.002349,0.00013942
-7.6000,-0.002024,-0.00044064
-7.4000,-0.000463,0.00070143
-7.2000,0.003456,0.00137597
-7.0000,0.000313,-0.00013446
-6.8000,0.002062,0.00313577
-6.6000,-0.000051,0.00206680
-6.4000,-0.000673,0.00372801
-6.2000,0.001827,0.00537669
-6.0000,0.006537,0.00826911
-5.8000,0.006600,0.01177008
-5.6000,0.006878,0.01313801
-5.4000,0.011653,0.01660306
-5.2000,0.015339,0.02077617
-5.0000,0.021025,0.02621594
-4.8000,0.022223,0.02993039
-4.6000,0.032782,0.03229593
-4.4000,0.034790,0.03427350
-4.2000,0.045410,0.03782228
-4.0000,0.055172,0.04222503
-3.8000,0.061161,0.04214337
-3.6000,0.073926,0.04625310
-3.4000,0.081945,0.04561311
-3.2000,0.086929,0.04623177
-3.0000,0.094158,0.04431536
-2.8000,0.104117,0.04205208
-2.6000,0.111706,0.03707512
-2.4000,0.122382,0.03490078
-2.2000,0.127838,0.02798194
-2.0000,0.134357,0.02363520
-1.8000,0.136371,0.01979899
-1.6000,0.143184,0.01805200
-1.4000,0.148259,0.01195505
-1.2000,0.147145,0.00923976
-1.0000,0.144932,0.01173769
-0.8000,0.150366,0.00441242
-0.6000,0.152710,0.00402041
-0.4000,0.154657,0.00564627
-0.2000,0.152122,0.00534808
-0.0000,0.152512,0.00731329
0.2000,0.155407,0.00619861
0.4000,0.156917,0.00778926
0.6000,0.160885,0.00863682
0.8000,0.159083,0.00861918
1.0000,0.162462,0.00903106
1.2000,0.163814,0.01176890
1.4000,0.168633,0.01189376
1.6000,0.168536,0.01210200
1.8000,0.172089,0.01392429
2.0000,0.173385,0.01576436
2.2000,0.177307,0.01482028
2.4000,0.181550,0.01847012
2.6000,0.179431,0.01913604
2.8000,0.186578,0.01859938
3.0000,0.189212,0.01978978
3.2000,0.192902,0.01952622
3.4000,0.199001,0.02111190
3.6000,0.203245,0.02202925
3.8000,0.209041,0.02408664
4.0000,0.215210,0.02357288
4.2000,0.214877,0.02357698
4.4000,0.220998,0.02529816
4.6000,0.227750,0.02528432
4.8000,0.232112,0.02584964
5.0000,0.240447,0.02825529
5.2000,0.241010,0.02882246
5.4000,0.249196,0.02888839
5.6000,0.251966,0.02820657
5.8000,0.261549,0.02767578
6.0000,0.267843,0.02768641
6.2000,0.271612,0.02920276
6.4000,0.277647,0.02964589
6.6000,0.279212,0.02945858
6.8000,0.287924,0.02922531
7.0000,0.294417,0.03054360
7.2000,0.295221,0.03173526
7.4000,0.306589,0.02912126
7.6000,0.313531,0.03042034
7.8000,0.321601,0.03102868
8.0000,0.323376,0.03213263
8.2000,0.333770,0.03126588
8.4000,0.338150,0.03014519
8.6000,0.346872,0.02897526
8.8000,0.352890,0.02961042
9.0000,0.359073,0.03065258
9.2000,0.362576,0.02628397
9.4000,0.366636,0.02798842
9.6000,0.375430,0.02890764
9.8000,0.378209,0.02746253
10.0000,0.383184,0.02713258
10.2000,0.388257,0.02707233
10.4000,0.394462,0.02575001
10.6000,0.400891,0.02723289
10.8000,0.407175,0.02624045
11.0000,0.409464,0.02645718
11.2000,0.416912,0.02516823
11.4000,0.417307,0.02650278
11.6000,0.425220,0.02478335
11.8000,0.433130,0.02536372
12.0000,0.435341,0.02567549
12.2000,0.439960,0.02477230
12.4000,0.444561,0.02564023
12.6000,0.449541,0.02419372
12.8000,0.453605,0.02407781
